Presenter Name,Institution
J.E. Tait,"Robert Gordon University Aberdeen, Scotland"
J.H. Den Hertog,"Saxion University of Applied Sciences Enschede, Netherlands"
J.H. Hammer,"University of Kentucky Lexington, Kentucky, USA ORCID"
J.H. Moolman,"Munster Technological University, Kerry Tralee, Ireland"
J.J. Verplanke,"University of Twente Enschede, The Netherlands ORCID: ---"
J.K. Naukkarinen,"LUT University Lappeeenranta, Finland ---"
J.M. Hancock,"University of Kentucky Lexington, Kentucky, USA"
J.M.J. Strobel,"University of Texas at El Paso El Paso TX, USA"
J.R. Buitenweg,"University of Twente Enschede, The Netherlands ORCID ---"
J.T. van der Veen,"Eindhoven University of Technology Eindhoven, The Netherlands https://orcid.org/---"
J.V. Paatero,"LUT University Lappeeenranta, Finland ---"
J.W. Lynch,"University of Cincinnati Cincinnati, Ohio"
JH Leegaard,"UCPBL, Aalborg University Aalborg, Denmark"
Jane Andrews,"WMG, University of Warwick Coventry, UK."
Joel Alejandro Mejia,"The University of Texas at San Antonio San Antonio, TX, USA"
Joel Alejandro Mejia,"The University of Texas at San Antonio San Antonio, USA"
John Mitchell,University College London United Kingdom
Johri and Barbara M. Olds,–. Cambridge: Cambridge University Press. https://doi.org/./CBO..
Jones,Leo. .The Student-Centered Classroom.New York: Cambridge University Press.
Juho Tiili,Tampere University of Applied Sciences
Julia Reynolds-Cuellar,"Massachusetts Institute of Technology Cambridge, MA, USA"
Juliet Upton,"Royal Academy of Engineering London, UK"
"Junaid, S",Aston University
K Bellingham,"Centre for Engineering Education, University College London, London, UK"
K Bellingham,"Centre for Engineering Education, University College London, UK"
K Edström,"KTH Royal Institute of Technology Stockholm, Sweden"
K Edström,"KTH Royal Institute of TechnologyStockholm, Sweden"
K Helker,"Eindhoven University of Technology Eindhoven, Netherlands"
K Jensen,"University of Michigan Ann Arbor MI, USA"
K Johnson,"East Tennessee State University Johnson City, TN, USA"
K. Connell-Skinner,"Edinburgh Napier University Edinburgh, UK"
K. D. Kennedy,"Massachusetts Institute of Technology Cambridge, MA, USA"
K. Douglas,"Purdue University West Lafayette, IN, USA"
K. Edström,"KTH Royal Institute of Technology Stockholm, Sweden"
K. Edström,"KTH Royal Institute of Technology, Stockholm, Sweden"
K. Koch,"Measurement Engineering Group, Paderborn University Paderborn, Germany"
K. P. Furlan,"Hamburg University of Technology Hamburg, Germany"
K. Shannon,"University of Cincinnati Cincinnati, Ohio"
K. Visscher,"University of Twente Enschede, The Netherlands"
K. Watson,"University of Colorado Colorado Springs Colorado Springs, CO, USA"
K. Willey,"Faculty of Engineering & IT, University of Technology Sydney Sydney, Australia"
